Qty,Value,Device,Package,Parts,Description,MF,MPN,Aliexpress or ebay link
4,10uF,"C1, C2, C10, C11",C1206,C-EUC1206,"CAPACITOR, European symbol",,,
8,100nF,"C4, C5, C6, C7, C8, C9, C12, C13",C0805K,C-EUC0805K,"CAPACITOR, European symbol",,,
1,10uF,C14,C0805K,C-EUC0805K,"CAPACITOR, European symbol",,,
1,100uF,C15,153CLV-0605,CPOL-EU153CLV-0605,"POLARIZED CAPACITOR, European symbol",,,
7,10k,"R1, R2, R3, R4, R5, R15, R16",M0805,R-EU_M0805,"RESISTOR, European symbol",,,
1,22,R18,M0805,R-EU_M0805,"RESISTOR, European symbol",,,
4,33,"R14, R17, R22, R26",M0805,R-EU_M0805,"RESISTOR, European symbol",,,
8,100K,"R7,R8, R9, R10, R12, R19, R20, R23, R24",M0805,R-EU_M0805,"RESISTOR, European symbol",,,
1,470,R6,M0805,R-EU_M0805,"RESISTOR, European symbol",,,
1,7805,IC1,TO220H,7808T,Positive VOLTAGE REGULATOR,,,
1,LD117AS33TR,IC2,SOT223,LD117AS33TR,Low drop fixed and adjustable positive voltage regulators 1 A,,,
1,2N7002,Q1,SOT23,MOSFET-NREFLOW,N-Channel Mosfet,,,
1,BC807,T1,SOT23-EBC,,PNP Transistror,,,
4,CHASIS3.5STJ,"G1, G2, G3, G4",CHASIS3.5JCK,CHASIS3.5STJ,,,,http://www.aliexpress.com/item/3-5mm-headphone-jack-audio-interface-chassis-panel-W10-5pcs-lot/32550969118.html
1,F/CM12P,SG1,F/CM12P,F/CM12P,BUZZER Source: Buerklin,,,http://www.aliexpress.com/item/Free-Shipping-2Pcs-X164-Free-shipping-10pcs-5V-Mini-Magnetic-Active-Buzzer-Alarm-Ringer-Black/32619383105.html
3,,"X1,X2,X3",1751251,1751251,"Terminal block 3 pin 3,5mm",,,http://www.aliexpress.com/item/NANO-3-0-controller-Terminal-Adapter-for-NANO-terminal-expansion-board-for-arduino-Nano-version-3/32601791456.html
1,ARDUINO-NANO-3.0,M1,ARDUINO-NANO-3.0,ARDUINO-NANO-3.0,,,,
1,WIRELESS-NRF24L01-PA-EXT,M2,WIRELESS-NRD24L01-PA-EXT,WIRELESS-NRF24L01-PA-EXT,,,,
1,DISPLAY_84X48,U$2,DISPLAY-NOKIA-3310,DISPLAY_84X48,,,,www.aliexpress.com/item/High-Quality-8448-84x84-LCD-Module-blue-backlight-adapter-PCB-for-Nokia-5110-for-Arduino/32614334972.html
1,KY-040,KY-040,,,,,,http://www.aliexpress.com/item/Rotary-Encoder-Module-Brick-Sensor-Development-for-arduino-KY-040/32462116984.html?
3,30A,SCT-013-030,,G1,Current Sensor 30A,,,http://www.aliexpress.com/item/2016-Hot-Selling-Non-invasive-Split-Core-Current-Transformer-AC-current-sensor-30A-SCT-013-030/32593306658.html
1,100A,SCT-013-000,,"G2,G3,G4",Current Sensor 100A,,,http://www.aliexpress.com/item/Free-shipping-0-100A-AC-sensor-SCT-013-000-split-core-current-transformer/32527783305.html
